goal_id,work_area_id,side,x_ft,y_ft,yaw_deg,x_m,y_m,yaw_rad
R2T4A1_N,R2T4A1,north,92.5,31.0,90,28.194,9.449,1.5708
R2T4A2_S,R2T4A2,south,97.5,24.0,-90,29.718,7.315,-1.5708
R2T4A2_N,R2T4A2,north,97.5,31.0,90,29.718,9.449,1.5708
R2T4A3_S,R2T4A3,south,102.5,24.0,-90,31.242,7.315,-1.5708
R2T4A3_N,R2T4A3,north,102.5,31.0,90,31.242,9.449,1.5708
R2T4A4_S,R2T4A4,south,107.5,24.0,-90,32.766,7.315,-1.5708
R2T4A4_N,R2T4A4,north,107.5,31.0,90,32.766,9.449,1.5708
R2T5A1_S,R2T5A1,south,122.5,24.0,-90,37.338,7.315,-1.5708
R2T5A1_N,R2T5A1,north,122.5,31.0,90,37.338,9.449,1.5708
R2T5A2_S,R2T5A2,south,127.5,24.0,-90,38.862,7.315,-1.5708
R2T5A2_N,R2T5A2,north,127.5,31.0,90,38.862,9.449,1.5708
R2T5A3_S,R2T5A3,south,132.5,24.0,-90,40.386,7.315,-1.5708
R2T5A3_N,R2T5A3,north,132.5,31.0,90,40.386,9.449,1.5708
R2T5A4_S,R2T5A4,south,137.5,24.0,-90,41.910,7.315,-1.5708
R2T5A4_N,R2T5A4,north,137.5,31.0,90,41.910,9.449,1.5708
R3T1A1_S,R3T1A1,south,2.5,39.0,-90,0.762,11.887,-1.5708
R3T1A1_N,R3T1A1,north,2.5,46.0,90,0.762,14.021,1.5708
R3T1A2_S,R3T1A2,south,7.5,39.0,-90,2.286,11.887,-1.5708
R3T1A2_N,R3T1A2,north,7.5,46.0,90,2.286,14.021,1.5708
R3T1A3_S,R3T1A3,south,12.5,39.0,-90,3.810,11.887,-1.5708
R3T1A3_N,R3T1A3,north,12.5,46.0,90,3.810,14.021,1.5708
R3T1A4_S,R3T1A4,south,17.5,39.0,-90,5.334,11.887,-1.5708
R3T1A4_N,R3T1A4,north,17.5,46.0,90,5.334,14.021,1.5708
R3T2A1_S,R3T2A1,south,32.5,39.0,-90,9.906,11.887,-1.5708
R3T2A1_N,R3T2A1,north,32.5,46.0,90,9.906,14.021,1.5708
R3T2A2_S,R3T2A2,south,37.5,39.0,-90,11.430,11.887,-1.5708
R3T2A2_N,R3T2A2,north,37.5,46.0,90,11.430,14.021,1.5708
R3T2A3_S,R3T2A3,south,42.5,39.0,-90,12.954,11.887,-1.5708
R3T2A3_N,R3T2A3,north,42.5,46.0,90,12.954,14.021,1.5708
R3T2A4_S,R3T2A4,south,47.5,39.0,-90,14.478,11.887,-1.5708
R3T2A4_N,R3T2A4,north,47.5,46.0,90,14.478,14.021,1.5708
R3T3A1_S,R3T3A1,south,62.5,39.0,-90,19.050,11.887,-1.5708
R3T3A1_N,R3T3A1,north,62.5,46.0,90,19.050,14.021,1.5708
R3T3A2_S,R3T3A2,south,67.5,39.0,-90,20.574,11.887,-1.5708
R3T3A2_N,R3T3A2,north,67.5,46.0,90,20.574,14.021,1.5708
R3T3A3_S,R3T3A3,south,72.5,39.0,-90,22.098,11.887,-1.5708
R3T3A3_N,R3T3A3,north,72.5,46.0,90,22.098,14.021,1.5708
R3T3A4_S,R3T3A4,south,77.5,39.0,-90,23.622,11.887,-1.5708
